ISO-3166-1;ISO-3166-2;Name1;Name2;Wikipedia;Type
NR;06;"Boe District";Boe;https://en.wikipedia.org/wiki/Boe_District;districts
NR;07;"Buada District";Buada;https://en.wikipedia.org/wiki/Buada_District;districts
NR;08;"Denigomodu District";Denigomodu;https://en.wikipedia.org/wiki/Denigomodu_District;districts
NR;09;"Ewa District";Ewa;https://en.wikipedia.org/wiki/Ewa_District;districts
NR;10;"Ijuw District";Ijuw;https://en.wikipedia.org/wiki/Ijuw_District;districts
NR;11;"Meneng District";Meneng;https://en.wikipedia.org/wiki/Meneng_District;districts
NR;12;"Nibok District";Nibok;https://en.wikipedia.org/wiki/Nibok_District;districts
NR;13;"Uaboe District";Uaboe;https://en.wikipedia.org/wiki/Uaboe_District;districts
NR;14;"Yaren District";Yaren;https://en.wikipedia.org/wiki/Yaren_District;districts
NZ;AUK;"Auckland Region";Auckland;https://en.wikipedia.org/wiki/Auckland_Region;region
NZ;BOP;"Bay of Plenty Region";"Bay of Plenty";https://en.wikipedia.org/wiki/Bay_of_Plenty_Region;region
